"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
77,400;53,39
77,450;53,39
77,500;53,36
77,550;53,33
77,600;53,39
77,650;53,39
77,700;53,33
77,750;53,36
77,800;53,36
77,850;53,39
77,900;53,39
77,950;53,39
78,000;53,39
78,050;53,36
78,100;53,36
78,150;53,33
78,200;53,29
78,250;53,29
78,300;53,29
78,350;53,33
78,400;53,36
78,450;53,33
78,500;53,29
78,550;53,26
78,600;53,26
78,650;53,29
78,700;53,29
78,750;53,33
78,800;53,36
78,850;53,36
78,900;53,29
78,950;53,20
79,000;53,20
79,050;53,20
79,100;53,20
79,150;53,20
79,200;53,23
79,250;53,20
79,300;53,20
79,350;53,23
79,400;53,23
79,450;53,26
79,500;53,23
79,550;53,26
79,600;53,23
79,650;53,20
79,700;53,20
79,750;53,20
79,800;53,20
79,850;53,17
79,900;53,20
79,950;53,23
80,000;53,23
80,050;53,23
80,100;53,26
80,150;53,29
80,200;53,29
80,250;53,33
80,300;53,23
80,350;53,26
80,400;53,29
80,450;53,26
80,500;53,29
80,550;53,29
80,600;53,39
80,650;53,42
80,700;53,36
80,750;53,36
80,800;53,36
80,850;53,33
80,900;53,36
80,950;53,42
81,000;53,49
81,050;53,62
81,100;53,74
81,150;53,87
81,200;54,06
81,250;54,26
81,300;54,71
81,350;55,06
81,400;55,38
81,450;55,76
81,500;56,28
81,550;56,50
81,600;56,92
81,650;57,14
81,700;57,43
81,750;57,56
81,800;57,69
81,850;57,88
81,900;58,20
81,950;58,30
82,000;58,39
82,050;58,43
82,100;58,55
82,150;58,62
82,200;58,78
82,250;58,87
82,300;59,10
82,350;59,10
82,400;59,16
82,450;59,23
82,500;59,26
82,550;59,23
82,600;59,23
82,650;59,39
82,700;59,42
82,750;59,26
82,800;59,26
82,850;59,23
82,900;59,23
82,950;59,23
83,000;59,26
83,050;59,39
83,100;59,45
83,150;59,48
83,200;59,52
83,250;59,55
83,300;59,55
83,350;59,52
83,400;59,48
83,450;59,48
83,500;59,55
83,550;59,55
83,600;59,58
83,650;59,61
83,700;59,61
83,750;59,55
83,800;59,52
83,850;59,45
83,900;59,42
83,950;59,36
84,000;59,36
84,050;59,32
84,100;59,36
84,150;59,42
84,200;59,42
84,250;59,42
84,300;59,42
84,350;59,36
84,400;59,36
84,450;59,39
84,500;59,39
84,550;59,32
84,600;59,32
84,650;59,26
84,700;59,23
84,750;59,20
84,800;59,16
84,850;59,13
84,900;59,16
84,950;59,13
85,000;59,10
85,050;59,03
85,100;59,07
85,150;59,03
85,200;59,00
85,250;59,03
85,300;59,10
85,350;59,16
85,400;59,20
85,450;59,20
85,500;59,20
85,550;59,23
85,600;59,26
85,650;59,16
85,700;59,13
85,750;59,26
85,800;59,16
85,850;59,16
85,900;59,20
85,950;59,23
86,000;59,26
86,050;59,32
