Tiempo (s) Serie Nº 1,N1,N2,N3,N4,N5,d.std,prom,error,,,
1.96,-,2.7,3.9,4.36,4.63,0.85332194,3.8975,0.381617173,,,
1.97,-,2.55,3.8,4.34,4.51,0.886604008,3.8,0.396501366,,,
1.98,-,2.33,3.6,4.37,4.45,0.982797877,3.6875,0.439520572,,,
1.99,-,2.26,3.45,4.31,4.33,0.975444343,3.5875,0.436231972,,,
2,-,2.19,3.26,4.4,4.29,1.033263438,3.535,0.462089457,,,
2.01,-,2.17,3.18,4.25,4.19,0.983001356,3.4475,0.439611571,,,
2.02,-,2.34,2.99,4.36,4.14,0.957022292,3.4575,0.42799338,,,
2.03,-,1.89,2.86,4.17,4.09,1.08837417,3.2525,0.486735726,,,
2.04,-,2.63,2.7,4.21,4.09,0.859239004,3.4075,0.384263365,,,
2.05,-,2.29,2.62,4.07,4.01,0.925288243,3.2475,0.413801482,,,
2.06,-,2.74,2.58,4.18,3.97,0.824029732,3.3675,0.368517299,,,
2.07,-,2.67,2.57,4.04,3.93,0.790416557,3.3025,0.35348503,,,
2.08,-,3.08,2.63,4.14,3.88,0.699779727,3.4325,0.312951008,,,
2.09,-,2.98,2.76,3.92,3.83,0.588295561,3.3725,0.263093773,,,
2.1,-,3.36,2.91,4.21,3.74,0.552961723,3.555,0.247292,,,
2.11,-,3.42,3.04,3.93,3.78,0.397523584,3.5425,0.177777951,,,
2.12,-,3.47,3.3,4.16,3.7,0.372949952,3.6575,0.166788289,,,
2.13,-,3.48,3.4,3.97,3.67,0.253377189,3.63,0.113313724,,,
2.14,-,3.6,3.56,4.02,3.61,0.216082546,3.6975,0.096635052,,,
2.15,-,3.66,3.64,3.99,3.63,0.173781472,3.73,0.077717437,,,
2.16,-,3.66,3.85,4,3.69,0.157268348,3.8,0.070332543,,,
2.17,-,3.78,3.96,4.07,3.78,0.142916059,3.8975,0.063914005,,,
2.18,-,4,4.22,4.02,3.77,0.184096895,4.0025,0.082330634,,,
2.19,-,4,4.29,4.15,3.86,0.18592113,4.075,0.083146457,,,
2.2,-,4,4.41,4.17,3.86,0.236784008,4.11,0.105893028,,,
2.21,-,4.17,4.45,4.13,3.9,0.225591814,4.1625,0.100887726,,,
2.22,-,4.01,4.48,4.16,3.88,0.258376341,4.1325,0.115549412,,,
2.23,-,4.11,4.49,4.12,3.92,0.238467328,4.16,0.106645831,,,
2.24,-,4.08,4.49,4.13,4,0.216717943,4.175,0.09691921,,,
2.25,-,4.17,4.54,4.12,4.09,0.209284495,4.23,0.093594872,,,
2.26,-,4.13,4.67,4.15,4.14,0.265125756,4.2725,0.118567843,,,
2.27,-,4.26,4.68,4.25,4.16,0.232719431,4.3375,0.104075293,,,
2.28,-,4.22,4.71,4.32,4.24,0.229110599,4.3725,0.102461375,,,
2.29,-,4.25,4.67,4.32,4.31,0.190853347,4.3875,0.085352211,,,
2.3,-,4.19,4.69,4.3,4.34,0.216178938,4.38,0.09667816,,,
2.31,-,4.24,-,4.36,4.41,0.087368949,4.336666667,0.039072582,,,
2.32,-,4.24,-,4.33,4.45,0.105356538,4.34,0.047116876,,,
2.33,-,4.18,-,4.4,4.45,0.143643076,4.343333333,0.064239137,,,
2.34,-,4.22,-,4.41,4.49,0.138684294,4.373333333,0.062021502,,,
2.35,-,4.17,-,4.37,4.49,0.161658075,4.343333333,0.072295689,,,
2.36,-,4.21,-,4.42,4.55,0.171561456,4.393333333,0.076724616,,,
2.37,-,4.17,-,4.27,4.56,0.202566861,4.333333333,0.090590654,,,
2.38,-,4.21,-,4.47,4.62,0.207444772,4.433333333,0.092772122,,,
2.39,-,4.16,-,4.25,4.62,0.243789527,4.343333333,0.109025991,,,
2.4,-,4.12,-,4.52,4.65,0.276224546,4.43,0.123531373,,,
2.41,-,4.08,-,4.27,4.65,0.290229794,4.333333333,0.12979471,,,
2.42,-,4.05,-,4.55,-,0.353553391,4.3,0.158113883,,,
2.43,-,4,-,4.26,-,0.183847763,4.13,0.082219219,,,
2.44,-,4.1,-,4.38,-,0.197989899,4.24,0.088543774,,,
2.45,-,4.06,-,4.13,-,0.049497475,4.095,0.022135944,,,
2.46,-,4.07,-,4.24,-,0.120208153,4.155,0.05375872,,,
2.47,-,4.12,-,4.07,-,0.035355339,4.095,0.015811388,,,
2.48,-,4.09,-,4.03,-,0.042426407,4.06,0.018973666,,,
2.49,-,4.16,-,4.01,-,0.106066017,4.085,0.047434165,,,
2.5,-,4.17,-,3.94,-,0.16263456,4.055,0.072732386,,,
2.51,-,4.26,-,3.95,-,0.219203102,4.105,0.098030607,,,
